Θユ繷计-羆计,Θユ繷计-キА秖,Θユ繷计-キА基,砏睫(75そょ)-繷计,砏睫(75そょ)-キА秖,砏睫(75そょ)-キА基,75そょ-繷计,75そょ-キА秖,75そょ-キА基,75()-95(ぃ)-繷计,75()-95(ぃ)-キА秖,75()-95(ぃ)-キА基,95()-115()-繷计,95()-115()-キА秖,95()-115()-キА基,115()-135(ぃ)-繷计,115()-135(ぃ)-キА秖,115()-135(ぃ)-キА基,135()-155(ぃ)-繷计,135()-155(ぃ)-キА秖,135()-155(ぃ)-キА基,155そょ-繷计,155そょ-キА秖,155そょ-キА基,瞊∣贺睫-繷计,瞊∣贺睫-キА秖,瞊∣贺睫-キА基,ㄤ睫-繷计,ㄤ睫-キА秖,ㄤ睫-キА基,紅-繷计,紅-キА秖,紅-キА基,Θユ羆计(ぃ紅)-繷计,Θユ羆计(ぃ紅)-キА秖,Θユ羆计(ぃ紅)-キА基
934,120.08,70.36,921,120.14,70.49,1,71.5,32.6,7,88.86,64.56,344,108.07,70.81,475,124.47,70.63,102,140.69,69.08,5,162.6,60.25,0,0,0,0,0,0,48,121.66,65.56,886,120,70.62
606,143.3,72.72,588,143.5,72.98,0,0,0,0,0,0,55,108.17,73.47,142,125.71,76.09,221,145.31,74.04,170,167.43,69.74,0,0,0,18,136.92,63.71,31,130.06,65.91,575,144.02,73.05
2158,134.35,71.66,1900,130.14,71.88,0,0,0,11,90,55,278,109.1,69.2,848,125.3,71.8,774,143,72.7,235,167.6,71.8,12,190.2,52,0,0,0,191,129.6,63.5,1967,134.81,72.42
685,137.41,70.63,647,136.58,71.86,0,0,0,2,88,38.64,70,109,68.56,220,126,71.17,279,144,72.23,78,164.6,74.14,9,226.3,40.9,27,131.3,58.81,161,129.5,63.98,524,139.83,72.53
377,133.14,75.51,376,133.25,75.58,0,0,0,1,94,37,41,110.39,77.26,178,126.05,77.39,128,143.51,74.04,29,164.44,71.42,0,0,0,0,0,0,0,0,0,377,133.14,75.51
2493,131.13,71.85,2385,129.67,72.28,1,65,15.4,10,88.34,63.06,254,109.08,72,1294,125.78,72.53,837,141.92,72,97,172.11,64.64,0,0,0,0,0,0,238,128.53,64.18,2255,131.4,72.64
361,128.66,72.4,361,128.66,72.4,0,0,0,0,0,0,61,108.64,67.99,191,126.35,73.11,101,142.75,73.12,8,158.75,73.79,0,0,0,0,0,0,0,0,0,361,128.66,72.4
214,123.1,71.99,206,122.54,72.45,1,74,52,1,93.5,74.4,53,110.38,74.67,134,124.62,72.11,19,141.79,69.71,0,0,0,6,155.42,60.91,0,0,0,0,0,0,214,123.1,71.99
1570,123.44,69.27,1469,123.65,69.8,1,73.5,53.19,42,89.63,65.98,430,108.4,70.36,729,124.84,70.02,310,142,68.77,32,160.28,67.27,9,160.11,45.7,17,103.26,46.79,497,128.05,67.68,1073,121.31,70.05
352,126.35,68.42,346,125.96,68.64,0,0,0,1,88.5,58.2,67,108.01,67.36,200,125.55,69.53,79,142.21,67.46,5,160.9,57.7,0,0,0,0,0,0,152,127.48,66.23,200,125.49,70.11
1537,128.24,69.71,1449,127.89,70.15,0,0,0,15,91.41,62.62,237,107.93,69.21,750,125.3,70.68,462,142.33,69.77,38,162.46,66.39,1,173,46,34,120.01,57.96,444,127.34,66.78,1093,128.61,70.89
1042,120.5,69.77,976,121.48,70.19,2,73.3,40.14,48,88.8,63.56,335,107.3,70.07,491,124.8,70.6,150,142.3,69.21,16,161.5,62.36,0,0,0,0,0,0,452,121.4,67.86,590,119.81,71.25
751,118.3,69.56,740,118.48,69.81,0,0,0,1,87.5,42.8,291,108.6,69.66,398,122.82,70.03,51,140.94,68.98,1,173,51,0,0,0,9,100.78,51,276,119.52,67.77,475,117.59,70.61
483,125.8,68.77,471,125.63,69,1,74,40,0,0,0,74,109.41,71.13,318,125.65,69,79,140.73,67.44,5,158.1,64.91,0,0,0,6,121,57.04,143,128.97,65.98,340,124.47,69.98
1072,122.95,69.71,1010,124.4,70.46,5,71,38.67,45,85.68,52.11,233,108.22,70.79,593,125.07,71.06,184,142.71,68.45,11,162.27,62.31,1,161.5,60,0,0,0,212,127.07,65.66,860,121.93,70.76
2206,123.66,68.22,1986,124.22,69.2,0,0,0,91,89.32,63.92,546,107.29,69.72,992,125.34,70.12,448,142.39,66.92,67,162.94,63.98,0,0,0,62,113.53,45.44,660,124.64,65.1,1546,123.24,69.56
770,120.71,68.15,711,123.28,68.71,0,0,0,47,88,63.2,217,107.2,69.4,352,125,69.7,142,143.6,65.8,0,0,0,0,0,0,12,96.7,43.1,233,131,66,537,116.25,69.2
735,124.98,70.04,717,125.21,70.32,0,0,0,9,86.64,59.25,131,108.64,70.9,454,125.26,70.78,132,141.46,68.47,6,166.7,63.89,0,0,0,3,102,36.56,167,126.19,66.24,568,124.62,71.17
1689,120.05,70.34,1612,120.71,70.84,0,0,0,27,91.74,63.64,556,107.36,70.25,859,124.61,71.43,197,141.36,69.81,9,160.94,69.42,0,0,0,41,104,51.92,357,121.5,66.57,1332,119.67,71.37
1925,123.86,68.9,1822,123.55,69.35,3,71.67,47.55,23,90.15,65.37,454,106.28,70.74,976,124.24,69.63,392,141.85,67.55,34,160.47,61.56,6,182.17,54.86,37,120.93,61.21,451,132.79,65.76,1474,121.12,69.96
1387,122.23,69.63,1323,122.27,70.25,1,74.5,23.01,16,90.4,57.46,401,108.5,69.91,719,124.3,70.58,203,142.3,69.73,9,157.5,67.38,9,165,69.49,29,115.1,46.95,218,126.5,66.36,1169,121.43,70.26
967,119.02,70.22,935,119.52,70.47,1,74,38,25,91.44,60.2,363,107.56,70.51,476,124.38,70.64,96,140.61,69.6,6,164.08,67.73,0,0,0,0,0,0,66,122.64,65.42,901,118.75,70.58
611,138.96,73.48,574,139.17,74.2,0,0,0,1,89,52.4,36,110.03,72.29,225,127.12,74.29,213,143.43,73.66,100,167.7,75.46,0,0,0,36,136.97,62.3,48,130.78,65.01,563,139.66,74.16
2143,135.64,72,1843,130.83,72.16,0,0,0,9,91.2,69,205,108.4,71.3,902,126,72.3,736,143,72.2,279,167,72.2,12,178,50,0,0,0,115,130.13,64.1,2028,135.95,72.43
677,136.08,72.2,634,136.66,73.33,0,0,0,9,86.4,49.88,66,109.2,68.77,255,126.9,71.86,224,143.9,74.39,89,166.8,76.46,4,215,47.01,30,128.2,56.76,121,129,65.18,556,137.63,73.63
409,133.69,75.73,409,133.69,75.73,0,0,0,0,0,0,18,110.55,76.2,222,127.42,76.53,156,142.75,74.99,13,164.07,72.5,0,0,0,0,0,0,0,0,0,409,133.69,75.73
2526,129.99,69.99,2380,128.61,70.26,0,0,0,30,89.85,58.08,384,108.57,68.26,1187,125.49,71.27,809,142.71,69.68,116,168.54,67.35,0,0,0,0,0,0,348,127.98,61.1,2178,130.31,71.38
1598,124.58,68.87,1470,125.19,69.5,3,71.16,54.44,49,88.46,63.74,347,107.79,69.67,780,125.22,69.75,343,142.74,68.89,45,161.42,66.1,5,181.9,64.51,26,89.12,40.09,455,128.05,67.2,1143,123.19,69.57
315,124.23,70.81,298,124.85,71.37,0,0,0,9,92,61.33,74,106.49,68.97,157,126.19,72.27,67,142,71.48,3,160.17,67.86,0,0,0,5,123.6,52.24,56,126.1,66.55,259,123.83,71.75
1587,130.64,70.07,1482,129.46,70.64,0,0,0,3,92.13,61.75,211,109.42,70.78,764,125.94,71.14,507,143.1,69.93,69,163.03,65.93,1,168.2,55.6,32,117.94,54.79,426,132.57,66.39,1161,129.93,71.45
1227,125.64,70.01,1193,125.08,70.3,1,71,42.8,7,90.8,62.62,250,108.3,70.11,700,125.1,70.61,243,142.3,69.65,26,162.8,61.38,0,0,0,0,0,0,484,126.4,67.34,743,125.15,71.76
934,121.68,69.31,898,122.14,69.7,2,65.5,26.97,8,89.69,67.02,223,108.72,70.32,563,123.79,69.76,112,140.54,68.46,6,159.67,66.11,0,0,0,20,108.2,54.42,322,124.28,67.54,612,120.31,70.27
521,121,69.09,484,122.26,69.48,8,59.25,15.43,7,90.29,66,132,108.73,70.4,294,124.68,69.59,58,140.82,67.36,1,159.5,56.8,0,0,0,21,123.9,71.61,119,125.58,66.04,402,119.65,70.04
1208,123.06,70.38,1168,123.95,70.88,13,59.42,24.43,16,84.09,52.57,253,108.12,71.15,725,124.99,70.96,190,141.07,70.31,6,157.67,65.54,5,162.4,61.27,0,0,0,262,126.08,66.39,946,122.22,71.52
2577,121.27,68.61,2395,122.19,69.18,0,0,0,97,89.51,65.05,696,107.7,69.64,1325,124.27,69.94,374,141.76,66.19,36,163.88,62.2,0,0,0,49,107.88,49.88,740,125.42,65.07,1837,119.59,70.11
803,120.96,69.31,748,123.33,69.9,0,0,0,40,87.9,63.2,206,107.9,70.1,408,124.6,70.3,134,143.2,68.6,0,0,0,0,0,0,15,90.8,45.1,209,127.5,66.7,594,118.66,70.29
763,125.87,70.31,737,125.99,70.61,3,67.53,38.87,10,89.48,58.91,122,109.22,71.17,457,125.15,71.05,158,141.39,69.15,12,165.25,66.37,0,0,0,1,98.4,32,140,128.66,64.86,623,125.24,71.56
1699,122.3,70.85,1649,122.36,71.19,0,0,0,20,91.25,65.72,504,108.48,71.18,880,124.39,71.45,265,142.02,70.47,10,159.2,70.04,0,0,0,20,130.25,48.19,325,125,66.18,1374,121.67,71.98
1918,123.5,69.66,1813,123.69,70.05,3,56.67,30.47,45,89.86,64.66,464,106.41,71.94,942,124.36,70.28,407,141.84,67.97,31,159.44,64.93,5,199.4,54.68,21,117.33,60.49,346,133.55,65.79,1572,121.28,70.6
1468,123,70.52,1403,122.94,70.85,1,72,52.4,20,88.6,62.68,392,108.7,70.82,782,124.5,70.75,229,142,71.18,8,157.7,68.82,18,167.1,68.25,18,108.7,53.85,156,126.9,66.72,1312,122.53,70.99
938,120.02,72.16,925,120.2,72.26,0,0,0,10,91.25,64.77,328,108.06,72.13,498,124.16,72.76,99,140.54,70.39,3,159,62.87,0,0,0,0,0,0,13,115.73,65.13,925,120.08,72.26
717,141.63,75.13,679,141.67,75.67,0,0,0,2,90,61,57,108.67,75.77,217,127.87,74.11,249,144.33,75.8,156,168.68,77.11,0,0,0,36,143.82,65.65,42,129.87,65.19,675,142.37,75.7
2383,136.69,72.63,2074,132.7,72.86,0,0,0,6,90.4,60,147,108.3,72.3,962,126,73,965,143.1,72.8,286,164.3,72.9,17,175,50,0,0,0,110,132,64,2273,136.92,73.04
805,138.74,73.4,752,138.02,74.65,1,74,44,1,93,70.8,63,110.3,68.86,282,126.3,73.45,296,144.4,75.5,111,166.5,77.19,17,188.3,47.58,34,133.2,63.49,103,122.8,65.51,702,141.08,74.41
2821,131.52,71.15,2694,130.48,71.32,0,0,0,17,88.82,60.48,261,109.15,71.7,1434,126.16,71.34,999,142.25,71.21,110,163.63,68.78,0,0,0,0,0,0,321,129.21,62.81,2500,131.82,72.2
94,126.37,74.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,126.37,74.37,0,0,0,94,126.37,74.37
346,132.54,72.68,346,132.54,72.68,0,0,0,0,0,0,36,110.16,69.07,161,127.13,72.78,140,142.69,73.19,9,161.11,74.22,0,0,0,0,0,0,0,0,0,346,132.54,72.68
203,127.65,72.04,192,126.03,72.49,0,0,0,0,0,0,32,109.61,74.66,115,124.2,72.44,45,142.4,71.42,0,0,0,11,155.77,65.64,0,0,0,0,0,0,203,127.65,72.04
640,125.55,69.91,613,125,70.45,0,0,0,2,92,68.33,146,109.9,70.33,334,124.17,70.56,133,143.65,70.31,10,163,66.16,6,164.25,56.28,9,102.88,47.08,66,129.78,64.18,574,125.06,70.6
43,128.94,79.76,43,128.94,79.76,0,0,0,0,0,0,1,115,83.2,35,127.37,79.77,7,138.79,79.31,0,0,0,0,0,0,0,0,0,0,0,0,43,128.94,79.76
842,125.79,72.35,815,125.7,72.65,0,0,0,5,91.88,57.64,178,108.97,71.86,449,125.58,73.69,188,141.84,71.01,9,157.89,68.41,0,0,0,13,122.17,61.14,65,129.59,62.72,777,125.47,73.18
432,124.83,71.96,425,124.53,72.02,0,0,0,2,93.5,69.49,97,110.1,71.13,247,124.4,72.07,81,142.2,72.72,5,162.9,68.64,0,0,0,0,0,0,0,0,0,432,124.83,71.96
380,116.55,72.28,368,116.56,72.55,0,0,0,0,0,0,181,108.95,71.42,170,122.43,73.84,17,138.94,70.63,1,158,60,0,0,0,11,112.23,64.39,50,117.93,71.57,330,116.34,72.39
339,120.28,68.98,325,120.4,69.11,0,0,0,5,90.8,65.37,113,108.04,70.21,178,124.11,68.43,34,142.1,69.45,3,157,68.93,0,0,0,6,119.58,63.9,20,124.4,63.69,319,120.02,69.32
727,123.86,71.7,708,123.84,72.23,2,60.5,37.6,8,89.69,61.7,172,108.52,73.46,420,125.33,72.53,116,141.16,69.86,5,159.5,56.27,4,182.63,41.05,0,0,0,48,130.68,63.8,679,123.38,72.3
1567,121.57,69.81,1486,122.16,70.31,0,0,0,40,89.1,65.11,402,108.07,71.01,892,124.35,70.75,192,141.51,67.42,13,158.88,60.93,0,0,0,28,119.2,53.19,251,119.85,64.1,1316,121.9,70.89
497,114.57,72.41,422,119.51,74.63,0,0,0,49,88.6,61.8,144,107.1,72.5,238,123.7,75.4,40,139.3,76.5,0,0,0,0,0,0,26,83.3,41.9,0,0,0,497,114.57,72.41
524,129.54,71.73,512,128.76,72.14,0,0,0,0,0,0,58,110.91,74.11,303,125.29,72.96,151,142.58,70.12,11,159.4,59.41,1,202,44.4,0,0,0,17,124.89,64.13,507,129.7,71.98
1311,125.57,71.22,1284,125.41,71.44,0,0,0,2,89,61.98,244,109.85,72.15,800,125.18,71.26,240,141.99,71.4,10,159.2,73.26,0,0,0,15,121.67,51.2,181,129.4,65.42,1130,124.95,72.18
1429,120.37,70.48,1379,120.84,70.78,2,64.5,34.46,22,91.02,64.66,397,106.26,71.64,798,123.26,70.95,184,141.77,68.73,6,159.08,63.47,1,175.5,58,19,111.34,59.29,30,119.42,65.98,1399,120.39,70.58
1044,122.31,70.74,974,122.04,71.33,0,0,0,25,87.5,64.2,306,109.1,72.08,521,123.9,71.77,147,142.4,68.8,11,157.1,70.98,16,167.3,65.99,18,123.6,51.04,0,0,0,1044,122.31,70.74
990,116.06,71.93,943,117.07,72.44,1,72.5,13,42,90.36,59.41,427,107.26,71.34,458,123.25,73.31,58,140.5,72.54,4,159,66.02,0,0,0,0,0,0,0,0,0,990,116.06,71.93
525,142.3,75.11,485,142.15,75.65,0,0,0,0,0,0,20,111.65,70.29,145,126.53,74.35,226,143.96,76.36,94,168.4,76.47,0,0,0,40,144.02,68.61,15,125.93,59.96,510,142.78,75.5
1875,135.65,74.02,1675,131.86,74.18,0,0,0,1,93.2,47,134,109,72.3,791,126.3,74,750,141.8,74.6,189,167,74.2,10,182.2,54,0,0,0,52,128.3,62,1823,135.86,74.35
479,133.03,72.27,455,133.69,73.16,0,0,0,2,91.2,61.89,59,109.8,68.01,217,125.6,73.35,118,142.1,74.44,61,169.3,73.81,2,205.5,39.81,20,114.9,55.23,30,126.6,62.7,449,133.46,72.87
393,133.99,75.43,391,134.26,75.58,0,0,0,2,81.75,28.44,23,110.19,77.7,206,127.03,78.03,139,144.19,72.99,23,163.06,70.87,0,0,0,0,0,0,0,0,0,393,133.99,75.43
2209,132.69,70.46,2080,130.75,70.84,0,0,0,1,94.2,65.4,195,109.99,72.14,1106,126.33,71.67,779,142.22,69.54,128,164.5,65.55,0,0,0,0,0,0,183,133.25,59.82,2026,132.64,71.42
354,132.89,72.23,353,133,72.25,0,0,0,1,94,60,26,109.96,69.9,184,126.67,72.63,128,143.44,72.05,15,161.53,72.94,0,0,0,0,0,0,0,0,0,354,132.89,72.23
200,121.6,71.18,192,120.26,71.35,0,0,0,0,0,0,63,109.17,71.25,114,123.8,71.61,15,139.97,69.88,0,0,0,8,153.75,68.16,0,0,0,0,0,0,200,121.6,71.18
1549,124.53,68.17,1405,125.21,69.06,0,0,0,51,86.07,62.32,303,108.15,69.85,807,125.21,69.3,295,142.71,67.88,51,161.35,64.95,5,176.5,58.96,37,93.99,40.52,393,129.31,66.19,1156,122.9,68.88
83,126.59,75.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,126.59,75.01,0,0,0,83,126.59,75.01
412,128.07,69.38,406,128.1,69.47,0,0,0,1,92.5,61.6,46,111.53,68.89,264,126.22,69.8,96,141.21,68.88,3,161.17,64.75,0,0,0,2,89.5,60.52,131,130.1,65.54,281,127.12,71.22
1546,130.26,68.28,1436,129.05,68.83,0,0,0,2,86,38.03,183,108.97,69.02,788,125.46,69.38,465,143.04,67.95,66,161.36,64.75,1,155.4,52,41,124.23,57.32,452,132.24,64.93,1094,129.45,69.7
1242,126.85,69.17,1198,126.26,69.56,1,73,26.21,12,91.3,64.1,207,109.1,68.76,719,125.2,70.17,272,142.1,68.6,31,165.3,59.46,0,0,0,0,0,0,455,126.7,66,787,126.94,71
900,119.12,69.15,877,119.39,69.46,0,0,0,4,92.75,64.7,302,108.61,69.01,503,122.92,69.61,72,139.97,70,2,158.75,62.84,0,0,0,17,106.59,53.25,307,117.43,66.7,593,119.99,70.39
529,124.76,68.15,506,124.8,68.82,0,0,0,4,91.5,61.59,99,108.28,70.78,313,125.22,69.13,94,140.78,66.32,3,160,59.66,2,196,28.39,14,115.32,55.39,129,130.75,64.55,400,122.83,69.38
1242,123.94,69.75,1186,124.4,70.21,5,56.5,21.04,31,90.23,64.41,281,108.14,71.1,683,125.46,70.76,222,141.74,67.86,16,160.84,63.37,4,183.63,38.35,0,0,0,284,128.44,65.3,958,122.6,71.13
2534,121.47,68.21,2370,122.46,68.85,0,0,0,71,89.18,64.85,657,107.96,69.41,1362,124.46,69.4,351,141.81,66.2,20,162.98,63.48,0,0,0,73,109.62,49.39,775,124.91,64.73,1759,119.96,69.8
797,121.7,69.72,751,123.48,70.14,0,0,0,33,87.2,65.8,219,107.9,70.1,384,125,71.1,148,142.6,68,0,0,0,0,0,0,13,106.2,49.4,193,127.1,65.9,604,119.97,71.01
829,123.95,69.07,794,122.84,69.46,0,0,0,9,92.24,64.35,235,106.66,70.1,410,125.15,69.64,149,142,68.25,19,162.88,67.46,7,185.03,46.53,0,0,0,235,126.01,64.66,594,123.14,70.85
1664,121.16,70.23,1614,121.4,70.59,0,0,0,16,90.72,65,489,109.1,70.36,950,124.09,70.73,175,141.16,70.4,7,158.71,68.53,0,0,0,27,115.06,50.4,332,122.94,65.84,1332,120.71,71.34
1955,123.98,68.99,1860,123.67,69.45,8,60.31,31.86,14,90.54,66.86,442,106.78,70.9,1033,123.99,69.79,385,142.22,67.41,33,160.21,61.55,9,181.5,56.89,31,118.89,61.96,422,133.54,65.15,1533,121.35,70.16
1544,124.91,70.44,1498,124.29,70.61,0,0,0,6,91.8,68.14,314,109.6,71.94,929,124.5,70.34,255,141.6,70.22,14,156.9,74.22,11,170,68.82,15,137.4,53.03,177,128.1,66.18,1367,124.5,71.01
1204,121.73,70.96,1182,121.57,71,0,0,0,10,89.9,65.22,368,108.29,71.13,656,124.22,70.72,158,141.49,71.77,12,164.58,71.1,0,0,0,0,0,0,71,126.23,64.58,1133,121.45,71.38
730,141.61,77.96,682,142.13,78.53,0,0,0,1,90.5,70,23,111.02,73.43,220,126.49,75.69,308,144.36,77.72,131,168.64,84.31,0,0,0,47,135.1,69.47,47,127.7,65.4,683,142.57,78.74
2405,134.98,72.75,2130,131.42,73,0,0,0,11,90.8,63.9,222,109,70.9,1020,125.7,72.8,888,143.6,73.6,247,164,73,17,188,50,0,0,0,160,134,63.5,2245,135.05,73.4
784,142.82,74.12,749,142.81,75.04,0,0,0,2,92,61.58,29,109.1,72.92,273,126.9,74.24,254,144.1,75.25,193,168.7,75.87,6,219.9,40.79,27,129.7,59.08,83,139.7,64.24,701,143.19,75.26
400,132.32,76.06,399,132.42,76.12,0,0,0,1,94,42.2,35,111.3,77.59,202,125.74,77.31,146,143.67,74.99,16,160.25,71.36,0,0,0,0,0,0,0,0,0,400,132.32,76.06
2931,133.13,71.5,2750,131.36,71.85,0,0,0,12,90.17,66.29,251,108.32,72.32,1400,126.61,72.63,1099,142.68,70.89,169,164.98,67.17,0,0,0,0,0,0,294,130.94,63.47,2637,133.38,72.38
326,134.24,71.34,326,134.24,71.34,0,0,0,0,0,0,32,109.38,71.18,150,126.96,71.84,120,143.8,71.5,24,165.04,68.36,0,0,0,0,0,0,0,0,0,326,134.24,71.34
202,122.91,71.48,201,122.76,71.55,0,0,0,0,0,0,45,109.8,72.79,135,124.51,71.59,21,139.31,69.22,0,0,0,1,152.5,61,0,0,0,0,0,0,202,122.91,71.48
1590,124.04,68.31,1456,124.75,68.89,0,0,0,62,88.31,64.69,403,107.26,69.7,687,125.84,69.28,366,141.96,67.56,43,161.63,64.43,6,160.58,57.5,23,95.65,46.19,477,129.86,66.18,1113,121.55,69.28
330,127.6,69.14,325,127.99,69.24,0,0,0,2,92.25,63.11,49,111.01,69.73,192,126.35,69.41,84,141.65,68.67,1,155.5,63,0,0,0,2,85,57,107,130.6,65.51,223,126.16,70.94
1528,128.48,68.47,1446,127.87,68.85,0,0,0,4,90.6,57.23,219,109.69,67.9,825,125.63,69.18,402,142.38,68.66,43,159.92,65.95,1,150.6,46,34,118.32,57.24,432,129.3,65.2,1096,128.16,69.78
1157,124.76,68.63,1094,124.91,69.08,0,0,0,38,90.9,65.23,266,106.7,68.59,583,126,69.49,245,142.1,68.62,25,169.6,56.69,0,0,0,0,0,0,497,126,66.02,660,123.83,70.62
806,119.67,68.12,775,119.98,68.43,0,0,0,12,90.54,62.74,271,106.7,68.25,413,124.13,68.78,91,140.7,67.42,4,159.5,60.62,0,0,0,15,116.4,57.9,322,121.56,66.12,484,118.42,69.49
504,128.49,66.68,486,127.91,67.16,0,0,0,0,0,0,85,108.76,69.68,251,125.7,67.77,150,142.47,65.17,10,158.9,57.69,0,0,0,8,125.81,51.17,171,132.99,64.73,333,126.19,67.73
1052,127.62,68.9,1004,128.19,69.51,9,61,23.39,18,88.58,62.81,156,108.41,71.22,555,126.25,70.69,293,142.38,66.84,20,161.85,56.73,1,175.5,40.2,0,0,0,226,132.38,64.54,826,126.31,70.15
2455,122.08,67.36,2230,123.28,68.32,0,0,0,82,88.62,62.92,566,107.73,69.36,1295,124.74,68.85,369,142.01,65.48,39,162.45,63.33,0,0,0,104,107.64,48.8,803,125.62,64.35,1652,120.36,68.88
762,121.37,67.97,695,124.29,68.48,0,0,0,49,87.3,63.3,186,107.6,68.9,378,125.7,69.4,131,143.9,65.7,0,0,0,0,0,0,18,101.4,54.7,232,128.9,65.2,530,118.07,69.29
737,123.22,70.23,712,123.77,70.68,1,64,33.41,15,87.08,57.72,156,109.21,70.23,442,124.44,71.39,114,141.09,68.74,4,156.95,65.75,2,184.3,49.28,3,108.67,38.05,186,125.32,64.63,551,122.52,72.17
1566,123.24,69.56,1486,123,70.38,0,0,0,10,92.75,64.18,415,108.54,70.2,822,124.5,70.88,249,142.16,69.17,18,165.06,62.73,0,0,0,52,121.46,49.9,294,126,65.4,1272,122.6,70.55
1863,122.41,67.78,1753,122.55,68.35,6,69.42,44.5,29,90.1,62.77,437,106.38,69.35,996,123.6,68.53,320,141.37,66.82,24,159.96,60.34,7,183.79,49.89,44,114.9,58.3,390,131.18,64.73,1473,120.08,68.66
1353,123.69,70.24,1308,123.44,70.48,0,0,0,9,90.4,64.61,295,108.6,71.13,834,124.9,70.46,179,141.1,69.73,7,157.5,69,9,167.4,75.17,20,123.8,54.09,190,125.9,66.42,1163,123.33,70.88
1045,120.27,72.4,1036,120.16,72.47,0,0,0,4,91.38,72.5,360,108.21,73.68,587,124.36,72.21,89,140.8,70.18,5,166.4,61.92,0,0,0,0,0,0,42,123.43,65.78,1003,120.14,72.68
636,140.59,76.65,588,139.8,77.24,0,0,0,2,88,67.17,42,110.7,72.05,215,125.89,74.83,207,144.11,78.13,124,166.56,80.29,0,0,0,46,153.07,69.98,34,128.71,66.47,602,141.26,77.17
2150,135.73,71.46,1826,130.26,71.74,0,0,0,11,92.2,61.8,251,107.5,69.3,832,125.3,72.3,743,143.5,71.8,291,168,72.1,22,185,50,0,0,0,186,135.5,63,1964,135.75,72.26
659,141.28,72.65,621,141.31,73.52,0,0,0,2,91.2,59.4,27,110.6,70.91,203,127.2,73.48,277,144,73.61,114,167.2,73.78,2,200.7,47.89,34,140,59.36,71,139.9,63.55,588,141.44,73.74
370,132.55,75.08,370,132.55,75.08,0,0,0,0,0,0,29,111.41,75.14,197,126.78,77.09,129,142.56,73.41,15,163.23,67.05,0,0,0,0,0,0,0,0,0,370,132.55,75.08
2538,133.35,72.03,2359,131.41,72.45,1,74.8,45.2,13,90.89,67.53,205,108.95,73.13,1205,126.5,73.12,949,142.5,71.58,165,164.7,67.46,0,0,0,0,0,0,266,134.56,64.83,2272,133.2,72.88
332,132.41,72.13,330,132.68,72.24,0,0,0,2,87.5,45.47,29,110.45,70.49,169,126.76,72.68,115,142.68,72.12,17,161.88,71.53,0,0,0,0,0,0,0,0,0,332,132.41,72.13
201,124.88,71.43,184,124.31,72.12,0,0,0,7,92.29,70.01,43,106.02,74.6,101,125.17,72.93,40,141.8,68.32,0,0,0,10,158.1,62.02,0,0,0,0,0,0,201,124.88,71.43
1583,122.85,68.69,1466,123.47,69.48,0,0,0,45,89.21,65.65,411,108.33,70.12,792,125.05,69.68,263,142.38,68.21,38,162.5,64.76,3,174.83,53.2,31,88.76,32.31,495,127.91,67.02,1088,120.55,69.49
86,128.2,75.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,128.2,75.18,0,0,0,86,128.2,75.18
349,126.07,69.5,342,126.09,69.72,0,0,0,3,91.17,63.35,55,107.64,67.72,218,125.9,70.37,69,141.42,69.1,2,163.5,60.19,0,0,0,2,137.25,53.14,129,127.39,66.64,220,125.3,71.21
1472,128.83,69.62,1393,128.02,70.21,0,0,0,7,92.14,61.67,209,109.69,69.79,780,125.74,70.57,404,141.9,69.77,38,162.22,64.62,4,195.35,38.61,30,124.03,57.37,438,129.59,66.51,1034,128.51,70.95
1235,126.87,69.13,1170,126.51,69.64,6,66.6,26.45,18,88.2,61.36,213,108.3,69.27,650,125.4,70.16,307,141.5,68.87,41,162.9,62.26,0,0,0,0,0,0,580,128,67.11,655,125.87,70.96
921,120.12,68.71,889,120.64,69.15,0,0,0,12,90.04,61.73,274,108.32,69.57,514,123.35,69.18,101,140.29,68.13,3,166.83,58.34,0,0,0,17,105.59,49.49,398,122.25,67.15,523,118.49,69.93
491,123.6,67.99,472,123.67,68.35,0,0,0,5,86.5,62.01,118,109.07,69.16,270,124.1,68.76,84,142.82,66.33,7,157.93,60.71,0,0,0,7,111,55.05,158,126.95,65.91,333,122.02,69.02
1203,124.44,69.73,1137,124.72,70.17,4,66.38,31.47,34,89.74,65.85,260,107.41,70.69,636,125.33,70.85,241,141.77,68.15,23,164.22,62.85,5,162.1,51.99,0,0,0,296,129.7,65.78,907,122.73,71.09
2474,120.43,67.76,2270,121.53,68.38,0,0,0,103,89.32,64.13,790,107.19,68.79,1111,124.78,69.24,369,142.43,65.47,39,162.94,62.37,0,0,0,62,105.27,51.64,878,123.77,64.73,1596,118.6,69.5
810,118.72,69.02,748,120.98,69.52,0,0,0,47,91.5,65.5,261,108.1,69.5,397,124.3,70.3,90,143.7,66.6,0,0,0,0,0,0,15,91.5,47.1,230,125,66.1,580,116.24,70.27
749,120.61,70.01,721,121.1,70.38,0,0,0,20,89.14,61.7,222,107.65,69.53,404,123.89,71.57,95,140.63,67.43,4,164.15,61.58,2,192.3,56.28,2,103,37.61,186,120.82,65.35,563,120.55,71.55
